"IP_ID","InvoiceID","PaymentDate","TotalPaid","PaymentMode"
"2269","10136","2024-06-24 00:00:00","5625.00","Credit Terms - 30 days                                                                                                                                "
"2270","10139","2024-06-24 00:00:00","11742.82","By Cash                                                                                                                                               "
"2271","10140","2024-06-24 00:00:00","14550.00","By Cash                                                                                                                                               "
"2272","10141","2024-06-25 00:00:00","5828.00","By Cash                                                                                                                                               "
"2273","10142","2024-06-25 00:00:00","12791.00","Credit Terms - 30 days                                                                                                                                "
"2274","10131","2024-06-26 00:00:00","13637.00","Credit Terms - 30 days                                                                                                                                "
"2276","10147","2024-07-02 00:00:00","29971.00","Credit Terms - 30 days                                                                                                                                "
"2278","10148","2024-07-02 00:00:00","25695.00","Credit Terms - 7 days                                                                                                                                 "
"2279","10149","2024-07-02 00:00:00","48707.00","By Cash                                                                                                                                               "
"2280","10150","2024-07-02 00:00:00","3195.00","By Cash                                                                                                                                               "
"2281","10151","2024-07-02 00:00:00","24165.00","By Cash                                                                                                                                               "
"2282","10152","2024-07-02 00:00:00","1620.00","By Cash                                                                                                                                               "
"2283","10153","2024-07-02 00:00:00","4861.00","By Cash                                                                                                                                               "
"2284","10154","2024-07-02 00:00:00","3802.00","By Cash                                                                                                                                               "
"2286","10156","2024-07-02 00:00:00","5062.00","By Cash                                                                                                                                               "
"2287","10157","2024-07-02 00:00:00","7891.00","By Cash                                                                                                                                               "
"2289","10144","2024-07-04 00:00:00","9124.00","By Cash                                                                                                                                               "
"2291","10146","2024-07-04 00:00:00","3946.00","Credit Terms - 30 days                                                                                                                                "
"2292","10143","2024-06-28 00:00:00","4861.00","By Cash                                                                                                                                               "
"2293","10137","2024-07-04 00:00:00","97735.00","Credit Terms - 30 days                                                                                                                                "
"2295","10159","2024-07-05 00:00:00","616.00","By Cash                                                                                                                                               "
"2297","10160","2024-07-05 00:00:00","6244.00","By Cash                                                                                                                                               "
"2298","10155","2024-07-06 00:00:00","3896.00","By Cash                                                                                                                                               "
"2299","10161","2024-07-06 00:00:00","18203.00","By Cash                                                                                                                                               "
"2300","10162","2024-07-06 00:00:00","6360.00","Credit Terms - 30 days                                                                                                                                "
"2301","10163","2024-07-06 00:00:00","12594.00","Credit Terms - 30 days                                                                                                                                "
"2302","10164","2024-07-06 00:00:00","28602.39","By Cash                                                                                                                                               "
"2303","10158","2024-07-04 00:00:00","3071.00","By Cash                                                                                                                                               "
"2304","10168","2024-07-11 00:00:00","30248.00","By Cash                                                                                                                                               "
"2305","10169","2024-07-11 00:00:00","20318.00","By Cash                                                                                                                                               "
"2306","10165","2024-07-11 00:00:00","6957.00","By Cash                                                                                                                                               "
