"Id","ProductID","Qty","PurchaseCost","SalesCost","MRP","BatchNo","MfgDate","ExpiryDate","Barcode"
"148","8","7.00","81.81","168.64","199.00","2024 1                                            ","2023-05-01 00:00:00","2025-01-01 00:00:00","100008"
"149","9","0.00","81.81","168.64","199.00","2024 1                                            ","2023-09-04 00:00:00","2025-05-04 00:00:00","100009"
"150","91","29.00","90.44","186.44","220.00","2024 1                                            ","2024-02-09 00:00:00","2026-10-13 00:00:00","10091"
"151","92","33.00","90.44","186.44","220.00","2024 1                                            ","2024-02-09 00:00:00","2026-09-16 00:00:00","10092"
"152","93","26.00","90.44","186.44","220.00","2024 1                                            ","2024-02-09 00:00:00","2024-02-09 00:00:00","10093"
"153","94","1.00","1272.46","1864.41","2200.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10094"
"154","95","2.00","1260.89","1847.46","2180.00","3-1                                               ","2024-03-10 00:00:00","2026-01-15 00:00:00","10095"
"155","96","0.00","1272.46","1864.41","2200.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10096"
"156","97","1.00","1260.89","1847.46","2180.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10097"
"157","98","0.00","1260.89","1847.46","2180.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10098"
"158","99","2.00","584.17","855.93","1010.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10099"
"159","100","0.00","584.17","855.93","1010.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10100"
"160","101","0.00","584.17","855.93","1010.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10101"
"161","102","2.00","260.28","381.36","450.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10102"
"162","103","0.00","260.28","381.36","450.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10103"
"163","104","0.00","260.28","381.36","450.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10104"
"164","105","1.00","254.49","372.88","440.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10105"
"165","106","3.00","115.68","169.49","200.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10106"
"166","107","0.00","115.68","169.49","200.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10107"
"167","111","0.00","555.25","813.56","960.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10111"
"168","110","6.00","245.82","360.17","425.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10110"
"169","112","0.00","112.79","165.25","195.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10112"
"170","113","3.00","1226.19","1796.61","2120.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10113"
"171","114","0.00","549.47","805.08","950.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10114"
"172","115","0.00","112.79","165.25","195.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10115"
"173","116","3.00","1243.54","1822.03","2150.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10116"
"174","117","0.00","260.28","381.36","450.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10117"
"175","118","18.00","118.57","173.73","205.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10118"
"176","119","24.00","92.54","135.59","160.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10119"
"177","120","3.00","92.54","135.59","160.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10120"
"178","121","0.00","14.46","21.19","25.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10121"
"179","122","0.00","14.46","21.19","25.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10122"
"180","123","0.00","26.03","38.14","45.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10123"
"181","124","0.00","26.03","38.14","45.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10124"
"182","125","12.00","26.03","38.14","45.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10125"
"183","126","0.00","26.03","38.14","45.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10126"
"184","128","36.00","26.03","38.14","45.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10128"
"185","129","0.00","26.03","38.14","45.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10129"
"186","130","0.00","26.03","38.14","45.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10130"
"187","131","12.00","26.03","38.14","45.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10131"
"188","132","72.00","26.03","38.14","45.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10132"
"189","133","12.00","26.03","38.14","45.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10133"
"190","134","0.00","26.03","38.14","45.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10134"
"191","135","48.00","26.03","38.14","45.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10135"
"192","136","0.00","26.03","38.14","45.00","3-1                                               ","2024-03-10 00:00:00","2024-03-10 00:00:00","10136"
