"SP_ID","StockID","ProductID","BatchNo","Qty","FreeQty","MRP","Price","CGSTPer","CGSTAmt","SGSTPer","SGSTAmt","IGSTPer","IGSTAmt","DiscountPer","DiscountAmt","SalesRate","TotalAmount","MfgDate","ExpiryDate"
"183","21","17","TSCP071023","150.00","","430.00","197.13","9.00","2661.26","9.00","2661.26","0.00","0.00","0.0000","0.00","364.41","34892.02","2023-10-01 00:00:00","2025-10-01 00:00:00"
"184","22","50","TSNP010523","6.00","","725.00","332.37","9.00","179.48","9.00","179.48","0.00","0.00","0.0000","0.00","614.41","2353.18","2023-10-21 00:00:00","2025-10-21 00:00:00"
"185","22","50","TSNP021023","6.00","","725.00","332.37","9.00","179.48","9.00","179.48","0.00","0.00","0.0000","0.00","614.41","2353.18","2023-10-21 00:00:00","2025-10-21 00:00:00"
"186","22","20","0","350.00","","40.00","0.00","9.00","0.00","9.00","0.00","0.00","0.00","0.0000","0.00","0.00","0.00","2023-10-01 00:00:00","2023-10-01 00:00:00"
"187","22","21","0","100.00","","40.00","0.00","9.00","0.00","9.00","0.00","0.00","0.00","0.0000","0.00","0.00","0.00","2023-10-01 00:00:00","2023-10-01 00:00:00"
"188","23","67","OGZC101123","210.00","","99.00","45.02","9.00","850.93","9.00","850.93","0.00","0.00","0.0000","0.00","83.90","11156.59","2023-12-06 00:00:00","2025-11-01 00:00:00"
"189","24","10","B-04","180.00","","20.00","10.46","9.00","169.45","9.00","169.45","0.00","0.00","0.0000","0.00","16.95","2221.70","2023-08-25 00:00:00","2025-04-25 00:00:00"
"190","24","12","B-02","180.00","","20.00","10.46","9.00","169.45","9.00","169.45","0.00","0.00","0.0000","0.00","16.95","2221.70","2023-08-01 00:00:00","2025-04-01 00:00:00"
"191","24","11","B-6","180.00","","20.00","10.46","9.00","169.45","9.00","169.45","0.00","0.00","0.0000","0.00","16.95","2221.70","2023-06-06 00:00:00","2025-02-06 00:00:00"
"192","24","55","CS06","12.00","","599.00","251.58","2.50","75.47","2.50","75.47","0.00","0.00","0.0000","0.00","570.48","3169.90","2023-10-23 00:00:00","2026-09-27 00:00:00"
"193","24","15","BS2311","96.00","","329.00","135.25","9.00","1168.56","9.00","1168.56","0.00","0.00","0.0000","0.00","278.81","15321.12","2023-08-01 00:00:00","2025-08-01 00:00:00"
"194","25","2","NSCK061023","10.00","","2200.00","1008.57","9.00","907.71","9.00","907.71","0.00","0.00","0.0000","0.00","1864.41","11901.12","2023-10-01 00:00:00","2025-10-01 00:00:00"
"195","25","17","TSCP071023","30.00","","430.00","197.13","9.00","532.25","9.00","532.25","0.00","0.00","0.0000","0.00","364.41","6978.40","2023-10-01 00:00:00","2025-10-01 00:00:00"
"196","25","3","NSCP071023","24.00","","2000.00","916.88","9.00","1980.46","9.00","1980.46","0.00","0.00","0.0000","0.00","1694.92","25966.04","2023-10-01 00:00:00","2025-10-01 00:00:00"
"197","25","18","TSCA081023","30.00","","410.00","187.96","9.00","507.49","9.00","507.49","0.00","0.00","0.0000","0.00","347.46","6653.78","2023-10-01 00:00:00","2025-10-01 00:00:00"
"198","25","1","NSCA130923","10.00","","1900.00","871.04","9.00","783.94","9.00","783.94","0.00","0.00","0.0000","0.00","1610.17","10278.28","2023-10-11 00:00:00","2025-10-08 00:00:00"
"199","26","3","NSCP071023","1.00","","2000.00","916.88","9.00","82.52","9.00","82.52","0.00","0.00","0.0000","0.00","1694.92","1081.92","2023-10-01 00:00:00","2025-10-01 00:00:00"
"200","27","68","1","60.00","","450.00","274.60","9.00","1482.84","9.00","1482.84","0.00","0.00","0.0000","0.00","381.36","19441.68","2023-11-01 00:00:00","2025-04-04 00:00:00"
"201","28","17","TSCP030823","12.00","","430.00","197.13","9.00","212.90","9.00","212.90","0.00","0.00","0.0000","0.00","364.41","2791.36","2023-08-07 00:00:00","2025-08-07 00:00:00"
"202","28","16","TSCK100723","12.00","","450.00","206.30","9.00","222.80","9.00","222.80","0.00","0.00","0.0000","0.00","381.36","2921.20","2023-07-21 00:00:00","2025-07-21 00:00:00"
"203","29","67","OGZC101123","750.00","","99.00","45.02","9.00","3038.85","9.00","3038.85","0.00","0.00","0.0000","0.00","83.90","39842.70","2023-12-06 00:00:00","2025-11-01 00:00:00"
"204","30","70","12","30.00","","430.00","197.13","9.00","532.25","9.00","532.25","0.00","0.00","0.0000","0.00","364.41","6978.40","2023-11-01 00:00:00","2025-11-01 00:00:00"
"205","30","52","TSCK110923","60.00","","450.00","210.78","9.00","1138.21","9.00","1138.21","0.00","0.00","0.0000","0.00","381.36","14923.22","2023-10-21 00:00:00","2025-10-01 00:00:00"
"206","30","69","12","12.00","","430.00","197.13","9.00","212.90","9.00","212.90","0.00","0.00","0.0000","0.00","364.41","2791.36","2023-11-01 00:00:00","2025-11-01 00:00:00"
"207","31","16","TSCK271123","120.00","","450.00","206.30","9.00","2228.04","9.00","2228.04","0.00","0.00","0.0000","0.00","381.36","29212.08","2023-12-01 00:00:00","2025-12-01 00:00:00"
"208","31","70","12","30.00","","430.00","197.13","9.00","532.25","9.00","532.25","0.00","0.00","0.0000","0.00","364.41","6978.40","2023-12-01 00:00:00","2025-12-01 00:00:00"
"209","31","53","TSCA041123","30.00","","410.00","192.05","9.00","518.54","9.00","518.54","0.00","0.00","0.0000","0.00","347.46","6798.58","2023-12-01 00:00:00","2025-12-01 00:00:00"
"210","31","72","RZVA020723","450.00","","50.00","24.16","9.00","978.62","9.00","978.62","0.00","0.00","0.0000","0.00","42.37","12830.82","2023-12-01 00:00:00","2025-12-01 00:00:00"
"211","31","71","RZVP130723","450.00","","50.00","24.16","9.00","978.62","9.00","978.62","0.00","0.00","0.0000","0.00","42.37","12830.82","2023-12-01 00:00:00","2025-12-01 00:00:00"
"212","32","4","2024","36.00","","349.00","143.48","9.00","464.88","9.00","464.88","0.00","0.00","0.0000","0.00","295.76","6095.04","2023-08-08 00:00:00","2025-04-08 00:00:00"
"213","32","5","2024","36.00","","349.00","143.48","9.00","464.88","9.00","464.88","0.00","0.00","0.0000","0.00","295.76","6095.04","2023-08-06 00:00:00","2025-03-06 00:00:00"
