"ST_ID","InvoiceNo","PurchaseType","ReferenceNo1","ReferenceNo2","Date","SupplierID","SupplierInvoiceNo","SupplierInvoiceDate","TaxType","SGST","CGST","IGST","SubTotal","PreviousDue","FreightCharges","OtherCharges","Total","RoundOff","GrandTotal","TotalPayment","PaymentDue","Remarks"
"34","ST-0034                       ","Credit              ","                              ","                              ","2024-01-05 00:00:00","1","TN2308115571                  ","2024-01-05 00:00:00","Exclusive           ","6089.31","6089.31","0.00","67659.00","157663.00","0.00","0.00","237500.62","0.38","237501.00","0.00","237501.00",""
"35","ST-0035                       ","Cash                ","                              ","                              ","2024-01-16 00:00:00","6","1254                          ","2024-01-08 00:00:00","Exclusive           ","1375.57","1375.57","0.00","15284.20","0.00","0.00","0.00","18035.34","-0.34","18035.00","18035.00","0.00",""
"36","ST-0036                       ","Cash                ","                              ","                              ","2024-01-16 00:00:00","6","1284                          ","2024-01-12 00:00:00","Exclusive           ","2234.17","2234.17","0.00","24824.26","0.00","0.00","0.00","29292.60","0.40","29293.00","29293.00","0.00",""
"37","ST-0037                       ","Cash                ","                              ","                              ","2024-01-16 00:00:00","6","1                             ","2024-01-12 00:00:00","Exclusive           ","410.90","410.90","0.00","4565.59","0.00","0.00","0.00","5387.39","-0.39","5387.00","5387.00","0.00",""
"38","ST-0038                       ","Cash                ","                              ","                              ","2024-01-29 00:00:00","2","2379                          ","2024-01-29 00:00:00","Exclusive           ","4394.25","4394.25","0.00","48824.64","0.00","0.00","0.00","57613.14","-0.14","57613.00","57613.00","0.00",""
"39","ST-0039                       ","Credit              ","                              ","                              ","2024-01-29 00:00:00","1","TN2308116740                  ","2024-01-29 00:00:00","Exclusive           ","11635.22","11635.22","0.00","129280.20","237501.00","0.00","0.00","390051.64","0.36","390052.00","0.00","390052.00",""
"40","ST-0040                       ","Credit              ","                              ","                              ","2024-01-20 00:00:00","1","TN2308116329                  ","2024-01-20 00:00:00","Exclusive           ","11466.95","11466.95","0.00","127410.65","390052.00","0.00","0.00","540396.55","0.45","540397.00","0.00","540397.00",""
"41","ST-0041                       ","Cash                ","                              ","                              ","2024-03-08 00:00:00","8","RPET2023240517                ","2024-03-08 00:00:00","Exclusive           ","27718.24","27718.24","0.00","307980.68","0.00","0.00","0.00","363417.16","-0.16","363417.00","363417.00","0.00",""
"42","ST-0042                       ","Credit              ","                              ","                              ","2024-03-12 00:00:00","9","842                           ","2024-03-12 00:00:00","Exclusive           ","1676.96","1676.96","0.00","19212.80","0.00","0.00","0.00","22566.72","0.28","22567.00","0.00","22567.00",""
"43","ST-0043                       ","Credit              ","                              ","                              ","2024-03-12 00:00:00","9","11                            ","2024-03-12 00:00:00","Exclusive           ","162.29","162.29","0.00","1803.20","22567.00","0.00","0.00","24694.78","0.22","24695.00","0.00","24695.00",""
"44","ST-0044                       ","Cash                ","                              ","                              ","2024-03-25 00:00:00","8","RPET2023240533                ","2024-03-25 00:00:00","Exclusive           ","9293.65","9293.65","0.00","103262.69","0.00","0.00","0.00","121849.99","0.01","121850.00","121850.00","0.00",""
"45","ST-0045                       ","Cash                ","                              ","                              ","2024-04-03 00:00:00","8","RPET2024250006                ","2024-04-03 00:00:00","Exclusive           ","10794.93","10794.93","0.00","119943.54","0.00","0.00","0.00","141533.40","-0.40","141533.00","141533.00","0.00",""
"46","ST-0046                       ","Credit              ","                              ","                              ","2024-04-13 00:00:00","1","TN2308120249                  ","2024-03-27 00:00:00","Exclusive           ","6336.31","6336.31","0.00","70403.31","540397.00","0.00","0.00","623472.93","0.07","623473.00","0.00","623473.00",""
"47","ST-0047                       ","Credit              ","                              ","                              ","2024-02-22 00:00:00","1","TN2308118267                  ","2024-02-22 00:00:00","Exclusive           ","8328.27","8328.27","0.00","92536.34","623473.00","0.00","0.00","732665.88","0.12","732666.00","0.00","732666.00",""
"48","ST-0048                       ","Credit              ","                              ","                              ","2024-02-22 00:00:00","1","TN2308118277                  ","2024-02-22 00:00:00","Exclusive           ","486.22","486.22","0.00","5402.40","732666.00","0.00","0.00","739040.84","0.16","739041.00","0.00","739041.00",""
"49","ST-0049                       ","Credit              ","                              ","                              ","2024-04-05 00:00:00","1","F22417300310                  ","2024-04-05 00:00:00","Exclusive           ","78.39","78.39","0.00","871.04","739041.00","0.00","0.00","740068.82","0.18","740069.00","0.00","740069.00",""
"50","ST-0050                       ","Credit              ","                              ","                              ","2024-04-05 00:00:00","1","F22417300309                  ","2024-04-05 00:00:00","Exclusive           ","8181.36","8181.36","0.00","90904.11","740069.00","0.00","0.00","847335.83","0.17","847336.00","0.00","847336.00",""
"51","ST-0051                       ","Cash                ","                              ","                              ","2024-02-27 00:00:00","2","2630                          ","2024-02-27 00:00:00","Exclusive           ","3194.17","3194.17","0.00","35490.72","0.00","0.00","0.00","41879.06","-0.06","41879.00","41879.00","0.00",""
"52","ST-0052                       ","Cash                ","                              ","                              ","2024-03-28 00:00:00","2","2861                          ","2024-03-28 00:00:00","Exclusive           ","4286.11","4286.11","0.00","47623.32","0.00","0.00","0.00","56195.54","0.46","56196.00","56196.00","0.00",""
"53","ST-0053                       ","Cash                ","                              ","                              ","2024-04-15 00:00:00","8","RPET2024250032                ","2024-04-15 00:00:00","Exclusive           ","29567.71","29567.71","0.00","328530.03","0.00","0.00","0.00","387665.45","-0.45","387665.00","387665.00","0.00",""
"54","ST-0054                       ","Credit              ","                              ","                              ","2024-04-23 00:00:00","1","F22417301204                  ","2024-04-23 00:00:00","Exclusive           ","4423.05","4423.05","0.00","49144.87","191375.00","0.00","0.00","249365.97","0.03","249366.00","0.00","249366.00",""
