"Inv_ID","InvoiceNo","InvoiceDate","TaxType","Customer_ID","SalesmanID","SubTotal","CGST","SGST","IGST","FreightCharges","OtherCharges","Total","RoundOff","GrandTotal","TotalPaid","Balance","Remarks","Time","RewardsClaimed"
"1100","INV-2024-1 100                ","2024-06-04 00:00:00","Exclusive           ","14","0","4119.12","370.72","370.72","0.00","0.00","0.00","4860.56","0.44","4861.00","4861.00","0.00","","Tuesday, 04 June 2024 01:58:19 PM","0.00"
"10100","INV-2024-10100                ","2024-06-04 00:00:00","Exclusive           ","14","0","4119.12","370.72","370.72","0.00","0.00","0.00","4860.56","0.44","4861.00","4861.00","0.00","","Tuesday, 04 June 2024 01:58:58 PM","0.00"
"10101","INV-2024-10101                ","2024-06-04 00:00:00","Exclusive           ","9","0","22047.56","1984.29","1984.29","0.00","0.00","0.00","26016.14","-0.14","26016.00","0.00","26016.00","","Tuesday, 04 June 2024 03:11:01 PM","0.00"
"10102","INV-2024-10102                ","2024-06-04 00:00:00","Exclusive           ","14","0","8803.44","792.32","792.32","0.00","0.00","0.00","10388.08","-0.08","10388.00","0.00","10388.00","","Tuesday, 04 June 2024 03:15:43 PM","0.00"
"10103","INV-2024-10103                ","2024-06-06 00:00:00","Exclusive           ","21","0","1716.12","154.45","154.45","0.00","0.00","0.00","2025.02","-0.02","2025.00","2025.00","0.00","","Thursday, 06 June 2024 12:37:31 PM","0.00"
"10104","INV-2024-10104                ","2024-06-06 00:00:00","Exclusive           ","5","0","6803.43","612.31","612.31","0.00","0.00","0.00","8028.05","-0.05","8028.00","8028.00","0.00","","Thursday, 06 June 2024 12:52:37 PM","0.00"
"10105","INV-2024-10105                ","2024-06-06 00:00:00","Exclusive           ","21","0","4024.60","362.22","362.22","0.00","0.00","0.00","4749.04","-0.04","4749.00","4749.00","0.00","","Thursday, 06 June 2024 12:54:35 PM","0.00"
"10106","INV-2024-10106                ","2024-06-06 00:00:00","Exclusive           ","2","0","3343.68","300.94","300.94","0.00","0.00","0.00","3945.56","0.44","3946.00","0.00","3946.00","","Thursday, 06 June 2024 01:34:50 PM","0.00"
"10107","INV-2024-10107                ","2024-06-06 00:00:00","Exclusive           ","19","0","15413.69","1387.21","1387.21","0.00","0.00","0.00","18188.11","-0.11","18188.00","0.00","18188.00","","Thursday, 06 June 2024 01:50:25 PM","0.00"
"10109","INV-2024-10109                ","2024-06-07 00:00:00","Exclusive           ","27","0","5850.81","526.57","526.57","0.00","0.00","0.00","6903.95","0.05","6904.00","6904.00","0.00","","Friday, 07 June 2024 11:48:26 AM","0.00"
"10110","INV-2024-10110                ","2024-06-07 00:00:00","Exclusive           ","11","0","13080.83","1177.27","1177.27","0.00","0.00","0.00","15435.37","-0.37","15435.00","15435.00","0.00","","Friday, 07 June 2024 03:11:28 PM","0.00"
"10111","INV-2024-10111                ","2024-06-07 00:00:00","Exclusive           ","21","0","13448.07","1210.32","1210.32","0.00","0.00","0.00","15868.71","0.29","15869.00","15869.00","0.00","","Friday, 07 June 2024 03:17:32 PM","0.00"
"10112","INV-2024-10112                ","2024-06-07 00:00:00","Exclusive           ","11","0","2349.16","211.43","211.43","0.00","0.00","0.00","2772.02","-0.02","2772.00","2772.00","0.00","","Friday, 07 June 2024 03:35:53 PM","0.00"
"10113","INV-2024-10113                ","2024-06-08 00:00:00","Exclusive           ","10","0","129432.39","11648.91","11648.91","0.00","0.00","0.00","152730.21","-0.21","152730.00","0.00","152730.00","","Saturday, 08 June 2024 08:49:30 PM","0.00"
"10114","INV-2024-10114                ","2024-06-08 00:00:00","Exclusive           ","10","0","1667.81","150.10","150.10","0.00","0.00","0.00","1968.01","-0.01","1968.00","1968.00","0.00","","Saturday, 08 June 2024 08:51:35 PM","0.00"
